,year,scripture_references
73,2015,Leviticus 26:2–4; Matthew 25:35–40; Moses 6:58–62; Deuteronomy 5:12; Doctrine and Covenants 68:25; Luke 6:5; Doctrine and Covenants 88:77; Isaiah 58:13; Isaiah 58:13–14; Mark 2:27; 1 Timothy 4:12; Matthew 26:26–28; Genesis 2:2–3; Doctrine and Covenants 128:22; Doctrine and Covenants 59:12; Mark 2:28; Deuteronomy 5:14–15; Doctrine and Covenants 128:15; Moroni 4:1–3; Mosiah 2:21; Leviticus 19:3; Isaiah 61:1; 3 Nephi 18:1; Doctrine and Covenants 20:68; Doctrine and Covenants 59:9; Exodus 31:13; Mosiah 13:16; Doctrine and Covenants 20:37; Ezekiel 20:20; Matthew 12:8; Mark 14:22–24; Exodus 20:8; Doctrine and Covenants 20:77; Ezekiel 20:12; Doctrine and Covenants 68:29; Moroni 10:32–33
74,2014,1 Corinthians 15:22; Alma 34:9–10; Faith 1:3; Romans 3:23–24; 1 Corinthians 12:12; Ether 3:14; 2 Nephi 25:26; John 14:6; History 1:10; D&C 128:21; D&C 65:2; 2 Nephi 28:30
75,2014,1 Nephi 6:5; Luke 5:14; Esther 4:8–16; Mark 7:36; Matthew 22:37–39; 2 Nephi 8:7; Matthew 6:24; John 5:41; Alma 30:52; Matthew 6:5; Proverbs 29:25; Moroni 8:16; 1 Nephi 16:2; Matthew 4:24; 4 Nephi 1:27; Matthew 8:4; Matthew 14:9; 1 Nephi 8:25; Matthew 22:38; D&C 110:7; Alma 60:36; John 5:30; John 2:15–16; D&C 121:35; Alma 48:17; D&C 93:39; John 5:36; Alma 30:53; D&C 3:6; John 17:21–22; John 8:29; Isaiah 51:7; John 12:42–43; 3 Nephi 13:24; 1 Samuel 15:24; Mosiah 17:11–12; John 14:9
76,2014,Mark 14:22–24; 3 Nephi 20:8; Matthew 26:22; Matthew 26:24; Luke 22:15–20; John 6:48; Matthew 26:26–28; John 14:15; Doctrine and Covenants 20:77; 3 Nephi 18:7; 3 Nephi 9:14; Doctrine and Covenants 20:75; John 4:10; Matthew 26:26
77,2014,Mark 2:1–5; Mark 2:3; Mark 2:5; Mark 2:4
78,2014,Doctrine and Covenants 1:31; Moses 6:55; 2 Nephi 2:25; Doctrine and Covenants 84:37; Romans 8:16–17; Moses 6:57; Doctrine and Covenants 45:4; 2 Nephi 31:19; Doctrine and Covenants 101:78; 2 Nephi 2:13; 2 Nephi 25:23; Doctrine and Covenants 93:38; Alma 42:13; Moroni 10:31; Acts 10:34; Doctrine and Covenants 29:36; Mosiah 15:9; 2 Nephi 2:26; Alma 42:25; Revelation 12:7–9; Moses 4:3–4; Faith 1:2; Doctrine and Covenants 93:29; 3 Nephi 12:48; Alma 34:16; Doctrine and Covenants 3:2; Alma 42:24; Moses 6:53–56
79,2014,Doctrine and Covenants 67:3; Psalm 25:14; 3 Nephi 17:3; Doctrine and Covenants 88:63; Moses 1:33; Alma 32:27; John 7:17; Doctrine and Covenants 82:10; John 3:21; 1 Corinthians 2:14; John 14:6; Moroni 10:32; Doctrine and Covenants 20:59; Alma 5:26; Doctrine and Covenants 50:24; Moroni 10:3–5; 1 Corinthians 1:18
80,2014,1 Corinthians 5:6; John 13:34; Mosiah 29:26; Romans 14:19; Ephesians 4:15; D&C 38:41; James 1:20; John 8:11; 2 Nephi 31:20; Matthew 5:44; D&C 19:30; Matthew 22:39; Matthew 13:33; Matthew 7:12; John 15:12; John 17:14; Luke 13:21; John 14:15; 3 Nephi 11:28; John 8:4; Proverbs 29:8
81,2014,History 1:11–13; John 10:20; Matthew 7:18; Acts 26:24; Matthew 11:19; James 1:5; Matthew 5:44; History 1:33; Doctrine and Covenants 135:3; Doctrine and Covenants 122:1; History 1:29–46; History 1:23; Doctrine and Covenants 76:23; Doctrine and Covenants 135:1
82,2014,D&C 10:5; Enos 1:3; D&C 68:25
