,scripture_references
845,Job 38:4; Acts 10:38; Luke 19:46; John 4:24
846,Luke 22:44; D&C 19:18; Moses 7:23; Moses 7:67; Moses 7:26; Moses 7:28; Moses 7:29; Moses 7:32–33; D&C 18:15; Omni 1:26; John 14:15
847,D&C 93:42; Luke 15:17; Luke 15:20; Mosiah 27:14; D&C 27:15; D&C 3:8; D&C 27:17; D&C 27:18; D&C 93:42; Luke 15:17; Luke 15:20; Mosiah 27:14; D&C 27:15; D&C 3:8; D&C 27:17; D&C 27:18
848,at 1:00; At 2:00; By 5:00; Alma 12:14; Alma 5:21–22; Alma 5:24; Alma 5:27; Jacob 3:9; Alma 23:6–7
849,D&C 42:22; D&C 68:28
850,Acts 17:28; D&C 93:38; D&C 29:39; Ether 12:27; Alma 33:23; Alma 22:15; D&C 84:38; D&C 19:15; Alma 42:8; Moses 5:11; Alma 28:8; D&C 18:13; Alma 5:57; D&C 97:8; D&C 30:6; D&C 133:53; Acts 17:28; D&C 93:38; D&C 29:39; Ether 12:27; Alma 33:23; Alma 22:15; D&C 84:38; D&C 19:15; Alma 42:8; Moses 5:11; Alma 28:8; D&C 18:13; Alma 5:57; D&C 97:8; D&C 30:6; D&C 133:53
851,D&C 64:32; D&C 24:8; D&C 75:16; Alma 41:10; D&C 64:32; D&C 24:8; D&C 75:16; Alma 41:10
852,Doctrine and Covenants 90:24; D&C 90:24; D&C 122:7; Acts 12:4–17; Mark 8:18; D&C 84:88; Matthew 25:40
853,D&C 26:1; D&C 33:16; Luke 24:45; John 5:39; James 1:5; H 1:12
854,D&C 90:24; Mark 9:23; D&C 64:33; D&C 84:88
855,D&C 90:5
856,D&C 1:1; D&C 65:2
857,Jacob 7:9–12; John 5:39; Omni 1:17; John 14:15–16; Mosiah 18:10; Jacob 7:9–12; John 5:39; Omni 1:17; John 14:15–16; Mosiah 18:10
858,Moses 5:34–35; Moses 1:6; D&C 58:42; Alma 5:21–27; D&C 64:10; Mosiah 5:2; Mosiah 26:10–24; Job 40:8; John 8:7; D&C 64:10; D&C 88:67; Moses 5:34–35; Moses 1:6; D&C 58:42; Alma 5:21–27; D&C 64:10; Mosiah 5:2; Mosiah 26:10–24; Job 40:8; John 8:7; D&C 64:10; D&C 88:67
859,Alma 32:21; James 1:6; Mark 9:23; D&C 123:17; Alma 32:21; James 1:6; Mark 9:23; D&C 123:17
860,F 1:13; Alma 11:20
861,Mark 9:17; D&C 135:3; Acts 3:21; D&C 110:15; Acts 5:38–39; Alma 5:15; D&C 8:2; D&C 50:37; D&C 135:3; D&C 122:1; John 7:17; Alma 32:28; Mosiah 5:5; Mark 9:17; D&C 135:3; Acts 3:21; D&C 110:15; Acts 5:38–39; Alma 5:15; D&C 8:2; D&C 50:37; D&C 135:3; D&C 122:1; John 7:17; Alma 32:28; Mosiah 5:5
862,D&C 101:78; D&C 115:4; H 1:19; D&C 27:12; H 1:19; D&C 13:1; D&C 20:41; D&C 33:15; D&C 27:12; H 1:72; D&C 107:3; D&C 18:9; D&C 20:1; D&C 107:22; D&C 27:5; Moses 1:30–39; Alma 42:8; Alma 12:25; Alma 17:16; Alma 34:9; Alma 41:2; Alma 42:5; D&C 101:22; Moses 6:62; F 1:3; Jacob 3:12; D&C 42:24; D&C 104:8; H 1:15–16; James 4:7; D&C 10:22; Luke 22:3; D&C 50:3; Alma 41:10; Moses 2:26–27; Moses 6:9; Alma 7:11–12; D&C 101:78; F 1:2; D&C 8:2; D&C 9:7; D&C 68:6; D&C 101:78; D&C 115:4; H 1:19; D&C 27:12; H 1:19; D&C 13:1; D&C 20:41; D&C 33:15; D&C 27:12; H 1:72; D&C 107:3; D&C 18:9; D&C 20:1; D&C 107:22; D&C 27:5; Moses 1:30–39; Alma 42:8; Alma 12:25; Alma 17:16; Alma 34:9; Alma 41:2; Alma 42:5; D&C 101:22; Moses 6:62; F 1:3; Jacob 3:12; D&C 42:24; D&C 104:8; H 1:15–16; James 4:7; D&C 10:22; Luke 22:3; D&C 50:3; Alma 41:10; Moses 2:26–27; Moses 6:9; Alma 7:11–12; D&C 101:78; F 1:2; D&C 8:2; D&C 9:7; D&C 68:6
863,H 1:6; H 1:10; James 1:5; H 1:11; H 1:16–17; H 1:29; H 1:29; H 1:30; H 1:31; H 1:33; H 1:52–53; H 1:54; Luke 2:52; Luke 2:40; H 1:59; H 1:66–67; H 1:68; H 1:68–69; D&C 130:22; D&C 4:2; D&C 18:15; H 1:6; H 1:10; James 1:5; H 1:11; H 1:16–17; H 1:29; H 1:29; H 1:30; H 1:31; H 1:33; H 1:52–53; H 1:54; Luke 2:52; Luke 2:40; H 1:59; H 1:66–67; H 1:68; H 1:68–69; D&C 130:22; D&C 4:2; D&C 18:15
864,Moses 5:10–12; D&C 76:22
865,D&C 132:19; Mark 9:27; D&C 19:23
866,Luke 19:1–6; Luke 19:7; Luke 19:8–10; Luke 3:8; D&C 93:39; D&C 42:24; D&C 59:6; D&C 59:9; D&C 43:20; D&C 101:39; D&C 101:40; F 1:2; Moses 4:1; John 14:15
867,Alma 13:3; D&C 3:10; D&C 52:1; D&C 95:5; D&C 121:34; Alma 5:18; Alma 11:43; D&C 72:13; D&C 135:4; D&C 100:5; D&C 128:18; H 1:72; D&C 27:8; D&C 27:5; D&C 110:11; D&C 27:6; D&C 110:12; D&C 27:9; D&C 110:13; D&C 128:21; D&C 124:93; D&C 127:7; D&C 128:8; D&C 132:46; D&C 112:31; D&C 128:18; D&C 107:3; Alma 13:1; D&C 1:20; D&C 84:19; D&C 107:18; D&C 124:39; D&C 133:6; D&C 132:47; D&C 11:13; D&C 130:18; D&C 131:2; D&C 121:36; D&C 121:37; D&C 121:41; D&C 121:45; Alma 13:3; D&C 3:10; D&C 52:1; D&C 95:5; D&C 121:34; Alma 5:18; Alma 11:43; D&C 72:13; D&C 135:4; D&C 100:5; D&C 128:18; H 1:72; D&C 27:8; D&C 27:5; D&C 110:11; D&C 27:6; D&C 110:12; D&C 27:9; D&C 110:13; D&C 128:21; D&C 124:93; D&C 127:7; D&C 128:8; D&C 132:46; D&C 112:31; D&C 128:18; D&C 107:3; Alma 13:1; D&C 1:20; D&C 84:19; D&C 107:18; D&C 124:39; D&C 133:6; D&C 132:47; D&C 11:13; D&C 130:18; D&C 131:2; D&C 121:36; D&C 121:37; D&C 121:41; D&C 121:45
868,H 1:68–69; H 1:68–69
869,H 1:68–72; D&C 27:12; D&C 110:11; D&C 7:7; H 1:68–72; D&C 27:12; D&C 110:11; D&C 7:7
870,D&C 128:18; Acts 24:15; Alma 11:41–45; D&C 110:13; D&C 110:14; D&C 138:58; D&C 128:18; Acts 24:15; Alma 11:41–45; D&C 110:13; D&C 110:14; D&C 138:58
871,D&C 107:99; D&C 42:45; D&C 18:10; D&C 84:88; D&C 42:45; D&C 18:10; D&C 84:88
872,Titus 1:7
873,Luke 2:40; Acts 10:38; D&C 19:38; Luke 22:39–44; Luke 23:34; John 19:30; Luke 2:40; Acts 10:38; D&C 19:38; Luke 22:39–44; Luke 23:34; John 19:30
874,Mark 12:29–30; F 1:1; John 17:3; John 14:10; John 5:19; John 8:38; John 6:38; D&C 20:12; Moses 7:29–33; Jacob 5:41; Jacob 5:47; John 3:16–17; Moses 2:26–27; Mark 12:29–30; F 1:1; John 17:3; John 14:10; John 5:19; John 8:38; John 6:38; D&C 20:12; Moses 7:29–33; Jacob 5:41; Jacob 5:47; John 3:16–17; Moses 2:26–27
875,D&C 38:41; Moses 5:4–5; Moses 5:6–7; Moses 6:52; Amos 3:7; Mark 16:15; H 1:10; H 1:17; H 1:18–19
876,John 10:14; John 10:3; Mosiah 3:17; John 10:14; John 10:3; Mosiah 3:17
877,Mosiah 2:41; Mark 8:36; Mosiah 2:41; Mark 8:36
878,Micah 4:1–2; D&C 6:34
879,F 1:9; D&C 59:5; F 1:9; D&C 59:5
880,Enos 1:27; Omni 1:26; James 1:5; D&C 17:6; D&C 20:6; Jacob 3:2; Enos 1:27; Omni 1:26; James 1:5; D&C 17:6; D&C 20:6
881,Luke 18:22; Mark 1:17; Luke 9:23; Mark 12:30–31; John 10:30; John 14:15; John 13:34; Luke 10:29; Luke 10:37; Mosiah 4:17; Mark 14:7; Mark 6:2–3
882,D&C 97:8; Alma 34:8–16; D&C 59:23; Alma 34:8–16; D&C 59:23
883,D&C 20:37; Mosiah 3:19; Luke 22:42
884,H 1:33; Mosiah 8:11–16; Mosiah 8:18; D&C 135:3; D&C 122:1; D&C 122:3; D&C 21:1; Moses 1:33; D&C 76:24; Moses 1:39; Mosiah 23:21; Mosiah 2:6; D&C 93:29; D&C 84:38; Mosiah 4:9; Mosiah 5:13; Alma 18:32; John 3:16; D&C 88:6; Mosiah 29:26–27; Alma 30:60; Alma 30:53; Luke 15:17; Alma 32:6; Jacob 4:13; D&C 105:31; D&C 31:9; Jacob 6:12
885,Luke 10:42; Luke 10:38–39; John 11:5; Luke 10:40; Luke 10:39; Luke 10:40; Luke 10:41–42; Ether 12:33–34; Luke 10:42; Luke 10:38–39; John 11:5; Luke 10:40; Luke 10:39; Luke 10:40; Luke 10:41–42; Ether 12:33–34
886,Luke 10:42; Acts 9:36; D&C 82:3; Luke 10:42; Acts 9:36; D&C 82:3
887,Omni 1:26; D&C 64:33; Alma 31:35; Omni 1:26; D&C 64:33; Alma 31:35
888,Mosiah 9:3; Mosiah 13:29; Joel 2:32; Alma 37:37; Luke 22:39–44; Luke 23:33–34; Luke 11:2; Jacob 4:4–5; Moses 5:8; Jacob 3:1; Alma 31:38; D&C 37:2; Mark 9:29; Mosiah 27:22–23; Alma 5:46; D&C 88:76; D&C 90:24; Alma 37:37; Mosiah 26:39; Alma 26:22; D&C 42:61; D&C 9:8; Jacob 4:10; Omni 1:13; D&C 41:1; D&C 133:16; H 1:15–20; Luke 22:42; D&C 122:7; D&C 25:12; Mosiah 9:3; Mosiah 13:29; Joel 2:32; Alma 37:37; Luke 22:39–44; Luke 23:33–34; Luke 11:2; Jacob 4:4–5; Moses 5:8; Jacob 3:1; Alma 31:38; D&C 37:2; Mark 9:29; Mosiah 27:22–23; Alma 5:46; D&C 88:76; D&C 90:24; Alma 37:37; Mosiah 26:39; Alma 26:22; D&C 42:61; D&C 9:8; Jacob 4:10; Omni 1:13; D&C 41:1; D&C 133:16; H 1:15–20; Luke 22:42; D&C 122:7; D&C 25:12
889,D&C 64:9; D&C 64:9
890,John 4:13–14; at 3:30; at 3:30; at 3:30; John 14:27; D&C 101:16
891,Mark 4:37–38; Mark 4:39; Mark 4:41; Mark 13:7; D&C 38:30; Ether 6:7; Ether 2:23; Ether 3:1; D&C 58:26; Ether 6:4; John 17:15; D&C 121:7; D&C 122:7; John 17:13; D&C 138:12; Moses 7:61; Mark 4:39; Mark 4:37–38; Mark 4:39; Mark 4:41; Mark 13:7; D&C 38:30; Ether 6:7; Ether 2:23; Ether 3:1; D&C 58:26; Ether 6:4; John 17:15; D&C 121:7; D&C 122:7; John 17:13; D&C 138:12; Moses 7:61; Mark 4:39
892,D&C 38:30; D&C 38:30
893,John 1:9; D&C 84:46; D&C 84:46; D&C 130:22; D&C 121:26; D&C 11:13; John 14:26; D&C 1:33; Moses 8:17; John 1:9; D&C 84:46; D&C 84:46; D&C 130:22; D&C 121:26; D&C 11:13; John 14:26; D&C 1:33; Moses 8:17
894,D&C 88:81; Mosiah 18:9; Mosiah 28:3; D&C 133:36; D&C 50:41; D&C 88:81; Mosiah 18:9; Mosiah 28:3; D&C 133:36; D&C 50:41
895,D&C 9:7; D&C 46:8; D&C 109:7; Luke 17:33; F 1:13; Amos 5:14; John 17:3; D&C 88:63; D&C 89:19; Mosiah 16:9; D&C 9:7; D&C 46:8; D&C 109:7; Luke 17:33; F 1:13; Amos 5:14; John 17:3; D&C 88:63; D&C 89:19; Mosiah 16:9
896,James 4:14; D&C 59:20; D&C 58:27; D&C 59:23; D&C 84:44; D&C 64:31
897,John 21:15–17; D&C 88:81
898,Psalm 127:3; Moses 5:4–5; D&C 93:36; Moses 5:4–5; D&C 93:36
899,John 14:5; John 14:6
900,Alma 5:40; Alma 5:40; James 1:6; Alma 5:40; Alma 5:40; James 1:6
901,D&C 107:99; D&C 18:10; Mosiah 2:17; D&C 107:99; D&C 18:10; Mosiah 2:17
902,D&C 89:4; John 7:17
903,D&C 68:25; D&C 68:28; D&C 68:28; Luke 15:32; Alma 34:32; D&C 138:58; Luke 15:11–32; D&C 64:10; H 1:39; D&C 68:25; D&C 68:28; D&C 68:28; Luke 15:32; Alma 34:32; D&C 138:58; Luke 15:11–32; D&C 64:10; H 1:39
904,D&C 101:37; Luke 15:17; Luke 15:13; Luke 15:18; Luke 23:12; D&C 130:7; D&C 78:18; D&C 49:27; D&C 3:8; Luke 8:15; Mosiah 5:2; Mosiah 3:19; Mosiah 5:2; Luke 22:32; Luke 2:49; Moses 1:39
905,John 18:33; D&C 4:5; D&C 88:68; D&C 45:32; D&C 87:8; D&C 101:22; D&C 101:22; D&C 93:48
906,D&C 109:8; D&C 93:40; Luke 15:17
907,Ether 12:6; James 1:3–4; Ether 12:6; James 1:3–4
908,D&C 76:25; Moses 4:1–4; F 1:12; D&C 98:16; Alma 43:45–46; Alma 43:47; Alma 46:12–13; John 14:1–3; D&C 60:4; D&C 19:23
909,Job 12:12; James 5:16; Mosiah 27:14; Titus 2:1–7; D&C 4:3; D&C 128:7
910,John 14:6; D&C 68:4; D&C 128:13; Luke 15:17; John 14:6; D&C 68:4; D&C 128:13; Luke 15:17
911,D&C 42:28; D&C 121:37; D&C 1:33; Alma 22:14; D&C 19:18; D&C 18:11; D&C 58:43; Alma 34:33
912,Alma 34:32; James 1:5–6; D&C 98:14; D&C 98:22; D&C 38:30; D&C 1:37; D&C 68:4
913,Ruth 1:16–17; D&C 131:1
914,Mosiah 26:38–39; Alma 37:37; D&C 78:19; Mosiah 2:20–21; D&C 45:35; Mosiah 5:2; Alma 5:19; Ether 12:27; D&C 98:1; D&C 122:7; John 9:2–3; D&C 138:12; D&C 138:30; D&C 59:7
915,Enos 1:1
916,D&C 20:77; D&C 98:2; D&C 98:3
917,D&C 90:15; D&C 130:18
918,Alma 48:11; Alma 42:8
919,Jacob 2:28; D&C 136:33; D&C 130:18; D&C 50:40; Ether 8:8–22; Jacob 2:28; D&C 136:33; D&C 130:18; D&C 50:40; Ether 8:8–22
920,Alma 13:29
921,James 1:5; H 1:17
922,Luke 10:37; Luke 10:37
923,Alma 29:1; Moses 1:39
924,F 1:5; John 15:16; D&C 93:40; D&C 93:41; Moses 3:24; Moses 5:4–5; Moses 5:12; D&C 107:99; F 1:5; John 15:16; D&C 93:40; D&C 93:41; Moses 3:24; Moses 5:4–5; Moses 5:12; D&C 107:99
925,D&C 82:10; Mosiah 4:27; Alma 19:33
926,D&C 128:19; D&C 128:20; D&C 93:40; D&C 68:28; D&C 68:25; Enos 1:1; Enos 1:3; D&C 128:19; D&C 128:20; D&C 93:40; D&C 68:28; D&C 68:25; Enos 1:1; Enos 1:3
927,Moses 1:39; Mosiah 5:2; Alma 5:12–14; John 16:33; D&C 1:30; Jacob 3:1; Alma 36:3; D&C 49:27; D&C 78:18; John 14:26; D&C 36:2; Moses 7:4; Moses 7:44; Mark 13:7; D&C 45:26; D&C 84:80; Alma 32:38; D&C 19:19; Mosiah 23:21; D&C 58:27; John 6:68; D&C 64:32; D&C 101:77; D&C 59:21; D&C 84:80; H 1:17; Mosiah 4:9; D&C 45:32; D&C 87:8; Alma 34:38; D&C 78:17; Moses 1:9–10; Moses 1:39; D&C 93:29; Mosiah 15:7; D&C 6:20
928,Moses 4:2; D&C 76:26; Moses 4:1; D&C 56:17; D&C 104:86; Luke 12:15–21; Alma 13:15; Luke 10:25–37; at 8:48; John 15:13; Moses 4:2; D&C 76:26; Moses 4:1; D&C 56:17; D&C 104:86; Luke 12:15–21; Alma 13:15; Luke 10:25–37; John 15:13
929,Luke 17:11–19
930,D&C 119:3; D&C 130:20; D&C 1:35; D&C 38:16; D&C 72:10; D&C 120:1; D&C 130:20; D&C 119:3; D&C 130:20; D&C 1:35; D&C 38:16; D&C 72:10; D&C 120:1; D&C 130:20
931,Mark 9:17; Mosiah 15:7; Alma 12:24; Alma 42:4–13; Alma 32:6–21; Mosiah 3:19; Alma 32:15; D&C 121:8; D&C 64:32; D&C 42:48; F 1:4; D&C 59:8
932,Mosiah 2:41; D&C 121:7; D&C 122:1; D&C 135:4; D&C 64:34; Mosiah 2:41; D&C 121:7; D&C 122:1; D&C 135:4; D&C 64:34
933,Mosiah 4:27; Moses 5:4–8; D&C 59:8; D&C 97:8; John 21:22; John 12:26; Mosiah 14:4; Mosiah 4:27; Moses 5:4–8; D&C 59:8; D&C 97:8; John 21:22; John 12:26; Mosiah 14:4
934,D&C 45:26; Moses 6:15; Mosiah 3:19; Luke 2:14; Luke 10:27; D&C 59:5; Luke 6:31; D&C 18:10; Mosiah 4:14–15; Mark 11:25–26; Mark 11:27–28; Alma 41:3; Alma 43:45–47; Alma 46:11–12; Alma 48:11–16; F 1:12; D&C 134:1; James 2:23; D&C 124:58; D&C 132:30; John 10:10; Jarom 1:9; Mosiah 1:7; Mosiah 2:22; Alma 9:13; Alma 36:1; Alma 37:13; Alma 38:1; Alma 48:25; Alma 50:20; D&C 64:34; D&C 98:16; D&C 45:26; Moses 6:15; Mosiah 3:19; Luke 2:14; Luke 10:27; D&C 59:5; Luke 6:31; D&C 18:10; Mosiah 4:14–15; Mark 11:25–26; Mark 11:27–28; Alma 41:3; Alma 43:45–47; Alma 46:11–12; Alma 48:11–16; F 1:12; D&C 134:1; James 2:23; D&C 124:58; D&C 132:30; John 10:10; Jarom 1:9; Mosiah 1:7; Mosiah 2:22; Alma 9:13; Alma 36:1; Alma 37:13; Alma 38:1; Alma 48:25; Alma 50:20; D&C 64:34; D&C 98:16
935,D&C 107:39; D&C 107:42; D&C 107:39; D&C 124:91; D&C 135:1; D&C 107:39; D&C 107:42; D&C 107:39; D&C 124:91; D&C 135:1
936,Alma 53:13; Alma 53:16–17; Alma 53:20–21; Alma 56:56; Alma 57:25; Alma 57:26; Alma 53:20; D&C 4:5; Alma 53:21; Alma 53:20
937,D&C 121:36; D&C 121:37; D&C 121:34; D&C 121:41; D&C 132:47; D&C 121:36; D&C 121:37; D&C 121:34; D&C 121:41; D&C 132:47
938,Luke 12:15; D&C 133:5; D&C 107:99; Luke 12:15; D&C 133:5
939,D&C 112:10
940,Luke 1:80; John 3:28; Luke 3:16; Job 1:1; Job 2:9; Job 16:19; Job 19:25; Ruth 1:16; H 1:25; Mark 15:13; John 1:43; Luke 5:27; Luke 1:80; John 3:28; Luke 3:16; Job 1:1; Job 2:9; Job 16:19; Job 19:25; Ruth 1:16; H 1:25; Mark 15:13; John 1:43; Luke 5:27
941,D&C 20:53; Mosiah 2:17; Mosiah 4:27; John 14:15; D&C 20:19; D&C 42:29; D&C 59:5; D&C 19:18; Luke 22:42
942,John 13:1; John 17:20–23; D&C 93:2; Mosiah 15:5; John 8:29; Mosiah 15:7; D&C 19:18; John 15:1–2; Mosiah 3:19
943,Luke 2:52; D&C 112:10; Alma 5:14; Luke 2:52; D&C 112:10; Alma 5:14
944,D&C 32:3; D&C 84:88; D&C 123:17; D&C 32:3; D&C 84:88; D&C 123:17
945,H 1:16–20; James 1:5; H 1:68–72; D&C 13:1; D&C 27:12; D&C 110:11
946,Luke 18:8; Ether 12:7–22; John 20:29; James 2:17; D&C 8:2; Mark 9:23; John 14:12; Ether 12:12; Ether 12:19; D&C 90:24; Alma 36:3; Luke 18:8; Ether 12:7–22; John 20:29; James 2:17; D&C 8:2; Mark 9:23; John 14:12; Ether 12:12; Ether 12:19; D&C 90:24; Alma 36:3
947,Mosiah 24:14; Alma 41:10; D&C 82:10; D&C 19:4; D&C 1:31; Alma 38:8–9; D&C 64:9; Mark 11:25–26; Luke 6:37; Mosiah 26:29–32; Mosiah 24:14; Alma 41:10; D&C 82:10; D&C 19:4; D&C 1:31; Alma 38:8–9; D&C 64:9; Mark 11:25–26; Luke 6:37; Mosiah 26:29–32
948,John 1:9; D&C 84:46; D&C 84:47; John 14:15–17; John 14:26; Acts 2:38; Acts 8:12–17; Acts 19:1–6; Mosiah 3:19; Alma 34:9; Jacob 4:8; D&C 76:116; John 1:9; D&C 84:46; D&C 84:47; John 14:15–17; John 14:26; Acts 2:38; Acts 8:12–17; Acts 19:1–6; Mosiah 3:19; Alma 34:9; Jacob 4:8; D&C 76:116
949,Luke 15:1; 2 Nephi 2:25; Mosiah 2:41; Alma 41:10
950,D&C 97:21; Moses 7:18; D&C 105:32; D&C 68:25; D&C 82:14; D&C 115:1; D&C 65:2; D&C 82:19; Moses 4:25; D&C 78:13; D&C 38:29; D&C 105:5; D&C 97:21; Moses 7:18; D&C 105:32; D&C 68:25; D&C 82:14; D&C 115:1; D&C 65:2; D&C 82:19; Moses 4:25; D&C 78:13; D&C 38:29; D&C 105:5
951,D&C 20:77; D&C 46:7; D&C 20:77; D&C 46:7
952,John 19:25–27; Jude 1:22; Alma 37:6; John 19:25–27; Jude 1:22; Alma 37:6
953,D&C 130:2; D&C 121:37; D&C 130:2; D&C 121:37
954,D&C 103:12; Mosiah 4:15; Mosiah 3:21; D&C 68:27; D&C 83:4; Mosiah 4:14; D&C 93:40; D&C 19:22; D&C 132:63; D&C 29:48
955,Mark 12:41–44; D&C 119:3; Mark 12:41–44; D&C 119:3
956,D&C 38:27; Alma 17:2; Ether 12:27; D&C 38:27; Alma 17:2; Ether 12:27
957,John 11:25; D&C 14:7; John 10:26–27; Mosiah 14:3; John 14:6; John 11:25; D&C 14:7; John 10:26–27; Mosiah 14:3; John 14:6
958,Luke 23:34; John 13:35; Luke 23:34; John 13:35
959,D&C 110:13; Luke 22:31–32; Mark 14:27; Luke 22:56–62; Ether 12:6; Mark 4:14–20; D&C 110:13; Luke 22:31–32; Mark 14:27; Luke 22:56–62; Ether 12:6; Mark 4:14–20
960,D&C 40:1; D&C 41:5; Mosiah 18:8; John 15:12–15; Alma 7:11–12; D&C 40:1; D&C 41:5; Mosiah 18:8; John 15:12–15; Alma 7:11–12
961,Alma 32:13; D&C 93:30; Moses 1:10; Alma 17:5; Alma 22:17–18; Alma 32:27; D&C 84:47; Moses 7:62; D&C 88:40; Alma 32:13; D&C 93:30; Moses 1:10; Alma 17:5; Alma 22:17–18; Alma 32:27; D&C 84:47; Moses 7:62; D&C 88:40
962,Moses 1:39; D&C 59:9; John 14:26; D&C 89:18; D&C 27:15; Mosiah 5:2; John 7:16–17; Mosiah 2:41; D&C 82:10
963,D&C 17:8; Mosiah 5:13; Mosiah 15:7; Mosiah 3:19; Acts 5:1–11; James 1:7–8; Mosiah 2:21; John 3:30; Mark 10:21; D&C 76:75; Moses 1:10; Alma 14:11; D&C 59:21; John 12:27; John 5:30; John 6:38; Luke 15:18; D&C 84:38; D&C 64:32; D&C 19:18; John 6:51; D&C 17:8; Ether 12:27; D&C 84:38; D&C 103:17; D&C 136:22
964,D&C 107:48
965,Mosiah 8:18; Luke 2:52; F 1:13; Mosiah 2:17; D&C 13:1; D&C 42:61; Mosiah 8:18; Luke 2:52; F 1:13; Mosiah 2:17; D&C 13:1; D&C 42:61
966,D&C 132:39; John 14:26; John 16:13; Ether 12:6; John 20:29; D&C 132:39; John 14:26; John 16:13; Ether 12:6; John 20:29
967,D&C 100:1; D&C 84:88; James 1:22; D&C 100:1; D&C 84:88; James 1:22
968,D&C 121:36; F 1:5; D&C 121:41; D&C 121:45
969,Luke 22:41; Luke 18:10–14; D&C 25:12; Enos 1:4; Luke 22:44; D&C 9:7; Alma 5:46; Alma 34:20–27; John 17:21; Luke 22:42; John 15:7; Luke 22:41; Luke 18:10–14; D&C 25:12; Enos 1:4; Luke 22:44; D&C 9:7; Alma 5:46; Alma 34:20–27; John 17:21; Luke 22:42; John 15:7
970,Luke 15:11–32; Moses 4:1; Ether 12:26; D&C 17:8; Luke 15:11–32; Moses 4:1; Ether 12:26; D&C 17:8
971,D&C 121:1; D&C 122:7; Alma 42:8; Alma 34:10; John 9:2–3
972,Micah 4:1; D&C 1:30; D&C 93:2; D&C 88:12; F 1:1; D&C 130:22; John 14:16–18; John 12:46; John 8:12; D&C 58:27; D&C 93:28; D&C 50:24; D&C 4:2; D&C 93:39; Job 12:25; D&C 20:37; Mosiah 16:9; D&C 109:73; Micah 4:1; D&C 1:30; D&C 93:2; D&C 88:12; F 1:1; D&C 130:22; John 14:16–18; John 12:46; John 8:12; D&C 58:27; D&C 93:28; D&C 50:24; D&C 4:2; D&C 93:39; Job 12:25; D&C 20:37; Mosiah 16:9; D&C 109:73
973,D&C 50:23; D&C 76:5
974,Mosiah 15:19; Alma 12:25; Alma 18:39; Alma 22:13–14; Alma 42:26; D&C 76:12; Ether 4:19; John 17:5; Mosiah 4:6–7; Mosiah 18:13; D&C 93:7; Moses 5:57; Ether 3:14; Alma 13:3; D&C 132:28; D&C 138:55; D&C 127:2; D&C 138:53; D&C 138:53; Luke 11:49–51; D&C 132:63; D&C 49:16; D&C 38:1; D&C 130:20; D&C 132:5; D&C 124:40; D&C 124:41; D&C 124:33; D&C 128:5; D&C 128:18; Acts 3:20–21; D&C 65:2; D&C 124:45; James 1:6; Jacob 6:7; Jacob 3:2; D&C 101:32; D&C 121:29; Mosiah 15:19; Alma 12:25; Alma 18:39; Alma 22:13–14; Alma 42:26; D&C 76:12; Ether 4:19; John 17:5; Mosiah 4:6–7; Mosiah 18:13; D&C 93:7; Moses 5:57; Ether 3:14; Alma 13:3; D&C 132:28; D&C 138:55; D&C 127:2; D&C 138:53; D&C 138:53; Luke 11:49–51; D&C 132:63; D&C 49:16; D&C 38:1; D&C 130:20; D&C 132:5; D&C 124:40; D&C 124:41; D&C 124:33; D&C 128:5; D&C 128:18; Acts 3:20–21; D&C 65:2; D&C 124:45; James 1:6; Jacob 6:7; Jacob 3:2; D&C 101:32; D&C 121:29
975,D&C 38:39; D&C 6:7; D&C 14:7; D&C 132:19; John 17:3; John 14:6; John 10:16; D&C 132:22; D&C 132:23; D&C 1:38; D&C 68:8; D&C 84:36; D&C 112:20; D&C 39:11; D&C 45:9; D&C 66:2; D&C 76:40; D&C 132:12; D&C 133:57; D&C 84:33; Luke 24:26; Mosiah 3:20; Moses 7:62
976,H 1:11; H 1:13–15; H 1:8; H 1:18
977,D&C 4:5; D&C 84:19; D&C 121:41; Alma 62:41; D&C 138:13; D&C 98:13; D&C 58:2; D&C 105:6; Mosiah 23:21; D&C 132:50; D&C 95:1; D&C 88:125; Moses 6:63; Alma 30:44; D&C 88:33; Alma 5:26; Alma 26:16; D&C 133:52; Alma 34:38; Mosiah 4:11–12; Alma 38:12; D&C 93:12; John 13:34; D&C 112:11; Alma 37:36; Alma 33:23; D&C 4:5; D&C 84:19; D&C 121:41; Alma 62:41; D&C 138:13; D&C 98:13; D&C 58:2; D&C 105:6; Mosiah 23:21; D&C 132:50; D&C 95:1; D&C 88:125; Moses 6:63; Alma 30:44; D&C 88:33; Alma 5:26; Alma 26:16; D&C 133:52; Alma 34:38; Mosiah 4:11–12; Alma 38:12; D&C 93:12; John 13:34; D&C 112:11; Alma 37:36; Alma 33:23
978,Alma 29:1–5
979,Mark 4:1–2; Mark 4:3–20; Mark 4:37–39; Mark 4:40–41; Alma 41:10; D&C 36:2; James 3:18; John 14:27; John 14:27; John 16:33; D&C 59:23; Alma 5:14; Luke 6:37; Luke 6:37; John 13:34
980,Acts 10:38; Moses 1:39
981,D&C 87:8; D&C 84:88; D&C 60:7; D&C 89:4
982,D&C 121:45; D&C 121:45
983,D&C 87:8; Luke 17:11–19; D&C 88:118; D&C 50:23; D&C 87:8; Luke 17:11–19; D&C 88:118; D&C 50:23
984,Joel 2:28–32
