,scripture_references
26,Doctrine and Covenants 1:23; Mosiah 18:8–10; Moroni 7:47; Moroni 7:48; Doctrine and Covenants 18:27; Doctrine and Covenants 1:23; Mosiah 18:8–10; Moroni 7:47; Moroni 7:48; Doctrine and Covenants 18:27
27,Philippians 4:7; Doctrine and Covenants 42:45; Genesis 27:46; around 5:00; Philippians 4:7; Doctrine and Covenants 42:45; Genesis 27:46
28,1 Corinthians 14:7; Acts 2:14; Acts 2:36; Doctrine and Covenants 84:88; Romans 1:16; Acts 26:26–30; 1 Corinthians 14:7; Acts 2:14; Acts 2:36; Doctrine and Covenants 84:88; Romans 1:16; Acts 26:26–30
29,John 9:7; Luke 8:43–48; Mark 6:45–52; Luke 24:13–35; 3 Nephi 11:14; Matthew 26:18; Matthew 26:21; Matthew 26:22; Matthew 26:25; Matthew 26:26; Matthew 26:27–28; Doctrine and Covenants 20:77; John 1:1–3; Luke 2:1–7; Luke 2:41–52; Matthew 4:1–11; Mark 1:12–13; Luke 4:1–13; Matthew 17:1–9; Matthew 26:26–28; Luke 22:14–20; Luke 22:39–46; Luke 22:47–48; Luke 23:1–12; Matthew 26:67; Luke 22:63–65; Matthew 27:29; John 19:16–18; Luke 23:34; Luke 23:46; Luke 24:5–8; Doctrine and Covenants 20:77; Ecclesiastes 3:1; Matthew 7:7; John 9:7; Luke 8:43–48; Mark 6:45–52; Luke 24:13–35; 3 Nephi 11:14; Matthew 26:18; Matthew 26:21; Matthew 26:22; Matthew 26:25; Matthew 26:26; Matthew 26:27–28; Doctrine and Covenants 20:77; John 1:1–3; Luke 2:1–7; Luke 2:41–52; Matthew 4:1–11; Mark 1:12–13; Luke 4:1–13; Matthew 17:1–9; Matthew 26:26–28; Luke 22:14–20; Luke 22:39–46; Luke 22:47–48; Luke 23:1–12; Matthew 26:67; Luke 22:63–65; Matthew 27:29; John 19:16–18; Luke 23:34; Luke 23:46; Luke 24:5–8; Doctrine and Covenants 20:77; Matthew 7:7
30,D&C 20:77; John 20:29; D&C 121:45; Alma 32:28; D&C 20:77; D&C 14:7; 3 Nephi 27:20; D&C 11:12
31,Moses 1:39; Moses 5:58–59; Moses 6:22–23; Ephesians 2:20; Doctrine and Covenants 93:13; 2 Nephi 31:17; 2 Nephi 31:18; Ephesians 4:11–13; Moroni 6:4; 3 Nephi 27:5; Moroni 6:5; 4 Nephi 1:12; Ephesians 4:13; Jeremiah 31:34; Hebrews 8:11; Doctrine and Covenants 42:45; 1 Corinthians 12:22; 1 Corinthians 12:20; Mosiah 18:9; Isaiah 58:14; Doctrine and Covenants 20:77; Doctrine and Covenants 121:43; 3 Nephi 18:21; 3 Nephi 28:23; Mosiah 18:29; Matthew 28:19–20; Doctrine and Covenants 112:28; Matthew 1:31; Doctrine and Covenants 42:69; Doctrine and Covenants 90:3; Faith 1:5; Doctrine and Covenants 93:24; Daniel 2:28; Daniel 2:44; Daniel 2:45; John 18:36; Doctrine and Covenants 115:6; Doctrine and Covenants 65:5; Moses 1:39; Moses 5:58–59; Moses 6:22–23; Ephesians 2:20; Doctrine and Covenants 93:13; 2 Nephi 31:17; 2 Nephi 31:18; Ephesians 4:11–13; Moroni 6:4; 3 Nephi 27:5; Moroni 6:5; 4 Nephi 1:12; Ephesians 4:13; Jeremiah 31:34; Hebrews 8:11; Doctrine and Covenants 42:45; 1 Corinthians 12:22; 1 Corinthians 12:20; Mosiah 18:9; Isaiah 58:14; Doctrine and Covenants 20:77; Doctrine and Covenants 121:43; 3 Nephi 18:21; 3 Nephi 28:23; Mosiah 18:29; Matthew 28:19–20; Doctrine and Covenants 112:28; Matthew 1:31; Doctrine and Covenants 42:69; Doctrine and Covenants 90:3; Faith 1:5; Doctrine and Covenants 93:24; Daniel 2:28; Daniel 2:44; Daniel 2:45; John 18:36; Doctrine and Covenants 115:6; Doctrine and Covenants 65:5
32,3 Nephi 5:13; Alma 37:6; Doctrine and Covenants 64:33; 2 Corinthians 3:3; Doctrine and Covenants 84:85; 2 Nephi 4:15; Deuteronomy 6:7; 2 Nephi 4:16; Alma 5:16; Alma 5:16; Doctrine and Covenants 6:36; Doctrine and Covenants 20:77; 3 Nephi 17:3; Moroni 10:3; Matthew 16:25; 1 Nephi 2:20; Doctrine and Covenants 14:7; Doctrine and Covenants 121:45; 2 Nephi 31:20; Luke 2:42; Luke 3:23; Matthew 4:3–4; Matthew 21:13; Matthew 6:19–20; 2 Nephi 31:12; 3 Nephi 27:21; 3 Nephi 5:13; Alma 37:6; Doctrine and Covenants 64:33; 2 Corinthians 3:3; Doctrine and Covenants 84:85; 2 Nephi 4:15; Deuteronomy 6:7; 2 Nephi 4:16; Doctrine and Covenants 6:36; Doctrine and Covenants 20:77; 3 Nephi 17:3; Moroni 10:3; Matthew 16:25; 1 Nephi 2:20; Doctrine and Covenants 14:7; Doctrine and Covenants 121:45; 2 Nephi 31:20; Luke 2:42; Luke 3:23; Matthew 4:3–4; Matthew 21:13; Matthew 6:19–20; 2 Nephi 31:12; 3 Nephi 27:21
33,1 Corinthians 13:12; Doctrine and Covenants 88:6; Acts 9:10–18; Mosiah 2:41; 2 Nephi 2:25; Matthew 28:6; Mark 16:6; 1 Corinthians 13:12; Doctrine and Covenants 88:6; Acts 9:10–18; Mosiah 2:41; 2 Nephi 2:25; Matthew 28:6; Mark 16:6
34,John 14:15; Doctrine and Covenants 130:20; John 15:10; Matthew 22:37–39; Doctrine and Covenants 20:77; John 14:15; John 14:16–17; Moroni 8:26; Doctrine and Covenants 1:38; Exodus 20:8; John 14:15; Doctrine and Covenants 130:20; John 15:10; Matthew 22:37–39; Doctrine and Covenants 20:77; John 14:16–17; Moroni 8:26; Doctrine and Covenants 1:38; Exodus 20:8
35,3 Nephi 27:19; Moses 4:1–4; Abraham 3:22–28; Moses 1:39; Mark 14:36; Doctrine and Covenants 19:19; Doctrine and Covenants 19:19; Doctrine and Covenants 19:16; 2 Nephi 4:18; Genesis 25:29–33; Alma 7:11; 1 Nephi 11:16; Doctrine and Covenants 88:6; Doctrine and Covenants 122:8; Doctrine and Covenants 45:4; Isaiah 44:21; Alma 30:16; Mosiah 5:2; Romans 8:17; Doctrine and Covenants 84:38; Matthew 5:48; 2 Nephi 9:15; John 5:22; Mosiah 15:9; 2 Nephi 4:19; 2 Nephi 31:20; 3 Nephi 27:19; Moses 4:1–4; Abraham 3:22–28; Moses 1:39; Mark 14:36; Doctrine and Covenants 19:19; Doctrine and Covenants 19:19; Doctrine and Covenants 19:16; 2 Nephi 4:18; Genesis 25:29–33; Alma 7:11; 1 Nephi 11:16; Doctrine and Covenants 88:6; Doctrine and Covenants 122:8; Doctrine and Covenants 45:4; Isaiah 44:21; Alma 30:16; Mosiah 5:2; Romans 8:17; Doctrine and Covenants 84:38; Matthew 5:48; 2 Nephi 9:15; John 5:22; Mosiah 15:9; 2 Nephi 4:19; 2 Nephi 31:20
36,Matthew 4:24–25; John 6:66; 3 Nephi 9:16; Acts 28:27; Matthew 13:15; Matthew 13:16; John 14:12; Acts 2:1–4; Acts 10:9–15; Enos 1:3; Acts 2:42; Acts 4:8–12; Doctrine and Covenants 18:34; 1 Corinthians 2:16; Alma 27:17; Alma 31:38; about 2:30; Matthew 4:24–25; John 6:66; 3 Nephi 9:16; Acts 28:27; Matthew 13:15; Matthew 13:16; John 14:12; Acts 2:1–4; Acts 10:9–15; Enos 1:3; Acts 2:42; Acts 4:8–12; Doctrine and Covenants 18:34; 1 Corinthians 2:16; Alma 27:17; Alma 31:38
37,approximately 2:46; Abraham 3:25; Doctrine and Covenants 122:7; Ether 12:27; Hebrews 12:7–9; Moroni 10:32; Abraham 3:25; Doctrine and Covenants 122:7; Ether 12:27; Hebrews 12:7–9; Moroni 10:32
38,Mosiah 2:9; D&C 112:1; Isaiah 55:8–9; Faith 1:5; Omni 1:26; 2 Nephi 33:15; Jacob 6:11–12; Moroni 10:34; D&C 64:10; D&C 107:23; D&C 1:38
39,Moroni 10:5; Moroni 10:5
